iter	Passed	Remaining
0	144	144243
1	146	72927
2	147	49147
3	149	37245
4	151	30094
5	152	25315
6	154	21916
7	156	19400
8	158	17448
9	160	15873
10	162	14594
11	164	13502
12	165	12577
13	167	11792
14	169	11103
15	170	10502
16	172	9992
17	174	9524
18	176	9122
19	178	8747
20	180	8411
21	182	8100
22	184	7820
23	186	7572
24	187	7331
25	189	7111
26	191	6908
27	193	6720
28	195	6549
29	197	6388
30	199	6237
31	201	6096
32	203	5967
33	205	5839
34	207	5715
35	209	5600
36	211	5494
37	212	5389
38	214	5289
39	216	5192
40	218	5113
41	220	5033
42	222	4956
43	224	4881
44	226	4809
45	228	4739
46	230	4671
47	232	4610
48	234	4547
49	236	4486
50	238	4431
51	240	4378
52	242	4324
53	244	4274
54	245	4226
55	247	4178
56	249	4130
57	251	4086
58	253	4043
59	255	4002
60	257	3961
61	259	3920
62	261	3883
63	262	3845
64	264	3810
65	266	3775
66	268	3742
67	270	3710
68	272	3676
69	274	3646
70	276	3618
71	278	3592
72	280	3564
73	282	3537
74	284	3509
75	286	3482
76	288	3454
77	289	3427
78	291	3403
79	293	3380
80	295	3357
81	297	3332
82	299	3307
83	301	3285
84	303	3264
85	304	3241
86	307	3221
87	308	3200
88	310	3178
89	312	3156
90	313	3134
91	315	3113
92	317	3092
93	318	3072
94	320	3052
95	322	3034
96	323	3014
97	325	2996
98	327	2977
99	328	2959
100	330	2943
101	332	2926
102	334	2909
103	335	2892
104	337	2875
105	338	2859
106	340	2843
107	342	2827
108	344	2812
109	345	2796
110	347	2783
111	349	2768
112	350	2754
113	352	2740
114	354	2728
115	356	2714
116	357	2701
117	359	2688
118	361	2675
119	362	2661
120	364	2647
121	365	2633
122	367	2620
123	369	2607
124	370	2594
125	372	2581
126	373	2569
127	375	2557
128	377	2546
129	378	2535
130	380	2525
131	382	2515
132	384	2505
133	386	2496
134	388	2486
135	389	2477
136	391	2468
137	393	2459
138	395	2451
139	397	2443
140	399	2435
141	401	2426
142	403	2417
143	405	2408
144	407	2400
145	408	2391
146	410	2382
147	412	2373
148	414	2367
149	417	2363
150	418	2355
151	420	2347
152	422	2339
153	424	2331
154	426	2323
155	428	2315
156	430	2310
157	432	2302
158	433	2294
159	435	2286
160	437	2279
161	439	2271
162	440	2264
163	442	2257
164	444	2250
165	446	2243
166	448	2235
167	449	2227
168	451	2220
169	453	2213
170	455	2206
171	457	2200
172	458	2193
173	460	2186
174	462	2179
175	464	2173
176	466	2167
177	467	2161
178	469	2155
179	471	2149
180	473	2142
181	475	2135
182	476	2128
183	478	2122
184	480	2116
185	482	2109
186	483	2103
187	485	2096
188	487	2091
189	489	2086
190	491	2079
191	492	2074
192	495	2070
193	497	2065
194	499	2060
195	501	2055
196	503	2050
197	504	2045
198	506	2040
199	508	2035
200	510	2030
201	512	2024
202	514	2018
203	515	2012
204	517	2007
205	519	2002
206	521	1997
207	523	1991
208	524	1986
209	526	1981
210	528	1975
211	530	1970
212	531	1965
213	533	1959
214	535	1954
215	537	1949
216	538	1944
217	540	1939
218	542	1934
219	543	1927
220	545	1921
221	546	1916
222	548	1911
223	550	1906
224	551	1901
225	553	1895
226	555	1890
227	556	1884
228	558	1878
229	559	1873
230	560	1867
231	562	1862
232	564	1857
233	565	1851
234	567	1846
235	568	1840
236	570	1835
237	571	1830
238	573	1825
239	574	1819
240	576	1814
241	577	1809
242	579	1804
243	580	1799
244	582	1794
245	583	1789
246	585	1785
247	587	1780
248	588	1774
249	590	1770
250	591	1766
251	593	1761
252	595	1757
253	597	1753
254	598	1749
255	600	1744
256	602	1741
257	604	1737
258	605	1733
259	607	1729
260	609	1726
261	611	1723
262	613	1720
263	615	1716
264	617	1712
265	619	1708
266	621	1704
267	622	1701
268	624	1697
269	626	1693
270	628	1689
271	629	1685
272	631	1682
273	633	1679
274	635	1675
275	637	1672
276	639	1668
277	640	1664
278	642	1660
279	644	1656
280	645	1652
281	647	1649
282	649	1645
283	651	1641
284	653	1638
285	654	1634
286	656	1631
287	658	1628
288	660	1624
289	661	1620
290	663	1617
291	665	1614
292	667	1611
293	669	1607
294	671	1603
295	672	1600
296	674	1596
297	676	1593
298	678	1589
299	679	1586
300	681	1582
301	683	1579
302	685	1576
303	686	1572
304	688	1569
305	690	1565
306	691	1562
307	693	1558
308	694	1554
309	696	1550
310	698	1546
311	699	1542
312	701	1538
313	702	1535
314	704	1531
315	705	1527
316	706	1523
317	708	1519
318	709	1515
319	711	1511
320	712	1507
321	714	1503
322	715	1500
323	717	1496
324	718	1492
325	719	1488
326	721	1484
327	722	1481
328	724	1477
329	725	1473
330	727	1470
331	728	1466
332	730	1462
333	731	1458
334	733	1455
335	734	1451
336	736	1448
337	737	1444
338	739	1441
339	740	1437
340	741	1433
341	743	1430
342	744	1426
343	746	1422
344	747	1419
345	749	1415
346	750	1412
347	751	1408
348	753	1404
349	754	1401
350	756	1398
351	757	1394
352	758	1391
353	760	1387
354	761	1384
355	763	1380
356	764	1377
357	766	1373
358	767	1370
359	769	1367
360	770	1364
361	772	1361
362	773	1357
363	775	1354
364	776	1351
365	778	1347
366	779	1344
367	780	1341
368	782	1337
369	783	1334
370	785	1331
371	786	1328
372	788	1325
373	790	1322
374	791	1319
375	793	1316
376	794	1313
377	796	1310
378	798	1308
379	800	1305
380	802	1303
381	804	1301
382	805	1298
383	807	1295
384	809	1292
385	810	1289
386	812	1286
387	813	1283
388	815	1280
389	816	1277
390	819	1276
391	820	1273
392	822	1270
393	823	1267
394	825	1264
395	827	1261
396	828	1259
397	830	1256
398	832	1254
399	834	1251
400	836	1249
401	838	1247
402	840	1244
403	842	1242
404	843	1239
405	845	1236
406	847	1234
407	848	1231
408	850	1229
409	852	1226
410	854	1224
411	855	1221
412	857	1218
413	859	1216
414	861	1214
415	862	1211
416	864	1209
417	866	1206
418	868	1203
419	869	1201
420	871	1198
421	873	1196
422	874	1193
423	876	1190
424	878	1188
425	880	1185
426	881	1183
427	883	1180
428	885	1178
429	886	1175
430	888	1172
431	889	1169
432	891	1167
433	893	1164
434	894	1162
435	896	1159
436	897	1156
437	899	1153
438	900	1150
439	901	1147
440	903	1145
441	904	1142
442	906	1139
443	907	1136
444	909	1134
445	910	1131
446	912	1128
447	913	1125
448	915	1123
449	916	1120
450	918	1117
451	919	1114
452	921	1112
453	922	1109
454	924	1106
455	925	1103
456	926	1101
457	928	1098
458	929	1095
459	931	1093
460	933	1090
461	934	1088
462	936	1086
463	938	1083
464	940	1081
465	941	1079
466	943	1076
467	944	1074
468	946	1071
469	948	1069
470	949	1066
471	951	1064
472	953	1061
473	954	1059
474	956	1057
475	957	1054
476	959	1051
477	960	1049
478	962	1046
479	964	1044
480	965	1041
481	967	1039
482	968	1036
483	970	1034
484	971	1031
485	973	1029
486	975	1027
487	976	1024
488	978	1022
489	980	1020
490	981	1017
491	983	1015
492	985	1013
493	987	1011
494	988	1008
495	990	1006
496	992	1004
497	994	1002
498	995	999
499	998	998
500	999	995
501	1001	993
502	1003	991
503	1004	988
504	1006	986
505	1008	984
506	1009	981
507	1012	980
508	1014	978
509	1015	975
510	1017	973
511	1018	971
512	1020	968
513	1022	966
514	1024	964
515	1025	962
516	1027	960
517	1029	958
518	1031	956
519	1033	953
520	1035	951
521	1036	949
522	1038	947
523	1040	945
524	1042	943
525	1044	940
526	1045	938
527	1047	936
528	1049	934
529	1050	931
530	1052	929
531	1054	927
532	1056	925
533	1058	923
534	1060	921
535	1061	919
536	1063	916
537	1065	914
538	1066	912
539	1068	910
540	1070	908
541	1072	906
542	1074	903
543	1075	901
544	1077	899
545	1078	897
546	1080	894
547	1081	892
548	1083	890
549	1085	887
550	1086	885
551	1088	883
552	1089	881
553	1091	878
554	1092	876
555	1094	873
556	1095	871
557	1097	869
558	1098	866
559	1100	864
560	1101	861
561	1102	859
562	1104	857
563	1105	854
564	1107	852
565	1108	850
566	1110	847
567	1111	845
568	1113	843
569	1114	841
570	1116	838
571	1117	836
572	1119	834
573	1120	831
574	1122	829
575	1123	827
576	1125	824
577	1126	822
578	1128	820
579	1129	818
580	1131	815
581	1132	813
582	1134	811
583	1135	808
584	1137	806
585	1138	804
586	1140	802
587	1141	799
588	1142	797
589	1144	795
590	1146	793
591	1147	790
592	1148	788
593	1150	786
594	1151	783
595	1153	781
596	1154	779
597	1156	777
598	1157	774
599	1158	772
600	1160	770
601	1161	768
602	1163	765
603	1165	763
604	1166	761
605	1167	759
606	1169	756
607	1170	754
608	1172	752
609	1173	750
610	1175	748
611	1177	746
612	1178	744
613	1180	742
614	1182	740
615	1184	738
616	1185	736
617	1187	734
618	1189	732
619	1191	730
620	1192	728
621	1194	726
622	1196	723
623	1198	722
624	1200	720
625	1202	718
626	1204	716
627	1206	714
628	1208	712
629	1210	710
630	1211	708
631	1214	706
632	1215	704
633	1217	702
634	1219	700
635	1220	698
636	1222	696
637	1224	694
638	1226	692
639	1227	690
640	1229	688
641	1231	686
642	1233	684
643	1234	682
644	1236	680
645	1239	679
646	1240	677
647	1242	675
648	1244	673
649	1246	671
650	1248	669
651	1250	667
652	1252	665
653	1254	663
654	1256	661
655	1258	659
656	1260	657
657	1261	655
658	1263	653
659	1265	651
660	1267	649
661	1269	647
662	1270	645
663	1272	643
664	1273	641
665	1275	639
666	1277	637
667	1278	635
668	1280	633
669	1281	631
670	1283	629
671	1284	627
672	1286	624
673	1287	622
674	1289	620
675	1290	618
676	1292	616
677	1293	614
678	1295	612
679	1296	610
680	1298	608
681	1299	606
682	1301	603
683	1302	601
684	1303	599
685	1305	597
686	1307	595
687	1308	593
688	1310	591
689	1311	589
690	1313	587
691	1314	585
692	1316	583
693	1317	581
694	1319	578
695	1320	576
696	1322	574
697	1323	572
698	1325	570
699	1326	568
700	1328	566
701	1330	564
702	1331	562
703	1333	560
704	1335	558
705	1337	556
706	1338	554
707	1340	553
708	1342	551
709	1344	549
710	1345	547
711	1347	545
712	1349	543
713	1350	541
714	1352	539
715	1354	537
716	1355	535
717	1357	533
718	1359	531
719	1361	529
720	1363	527
721	1364	525
722	1366	523
723	1367	521
724	1369	519
725	1371	517
726	1373	515
727	1375	514
728	1377	512
729	1379	510
730	1381	508
731	1383	506
732	1385	504
733	1387	502
734	1389	501
735	1391	499
736	1393	497
737	1395	495
738	1397	493
739	1399	491
740	1401	489
741	1403	487
742	1404	485
743	1406	483
744	1408	482
745	1410	480
746	1412	478
747	1414	476
748	1415	474
749	1417	472
750	1419	470
751	1421	468
752	1423	466
753	1425	465
754	1427	463
755	1428	461
756	1430	459
757	1432	457
758	1434	455
759	1436	453
760	1437	451
761	1439	449
762	1441	447
763	1442	445
764	1445	443
765	1447	442
766	1449	440
767	1451	438
768	1452	436
769	1454	434
770	1456	432
771	1458	430
772	1460	428
773	1462	426
774	1464	425
775	1466	423
776	1467	421
777	1469	419
778	1471	417
779	1473	415
780	1475	413
781	1476	411
782	1478	409
783	1480	408
784	1482	406
785	1484	404
786	1486	402
787	1487	400
788	1489	398
789	1491	396
790	1493	394
791	1495	392
792	1497	390
793	1499	389
794	1501	387
795	1503	385
796	1505	383
797	1507	381
798	1508	379
799	1510	377
800	1512	375
801	1513	373
802	1515	371
803	1517	369
804	1519	368
805	1521	366
806	1522	364
807	1524	362
808	1526	360
809	1528	358
810	1530	356
811	1531	354
812	1533	352
813	1535	350
814	1537	349
815	1539	347
816	1540	345
817	1542	343
818	1543	341
819	1545	339
820	1546	337
821	1548	335
822	1550	333
