iter	Passed	Remaining
0	0	35
1	0	30
2	0	28
3	0	26
4	0	25
5	0	25
6	0	24
7	0	24
8	0	23
9	0	23
10	0	23
11	0	23
12	1	22
13	1	22
14	1	22
15	1	21
16	1	21
17	1	21
18	1	21
19	1	20
20	1	20
21	1	20
22	1	20
23	1	20
24	1	19
25	1	19
26	1	19
27	1	19
28	2	19
29	2	18
30	2	18
31	2	18
32	2	18
33	2	18
34	2	18
35	2	18
36	2	17
37	2	17
38	2	17
39	2	17
40	2	17
41	2	17
42	2	17
43	2	17
44	2	16
45	3	16
46	3	16
47	3	16
48	3	16
49	3	16
50	3	16
51	3	16
52	3	16
53	3	16
54	3	15
55	3	15
56	3	15
57	3	15
58	3	15
59	3	15
60	3	15
61	3	15
62	4	15
63	4	15
64	4	15
65	4	15
66	4	14
67	4	14
68	4	14
69	4	14
70	4	14
71	4	14
72	4	14
73	4	14
74	4	14
75	4	14
76	5	14
77	5	14
78	5	14
79	5	14
80	5	14
81	5	14
82	5	14
83	5	14
84	5	14
85	5	14
86	5	14
87	5	14
88	5	14
89	6	14
90	6	13
91	6	13
92	6	13
93	6	13
94	6	13
95	6	13
96	6	13
97	6	13
98	6	13
99	6	13
100	6	13
101	6	13
102	6	13
103	6	12
104	6	12
105	6	12
106	7	12
107	7	12
108	7	12
109	7	12
110	7	12
111	7	12
112	7	12
113	7	12
114	7	12
115	7	12
116	7	12
117	7	11
118	7	11
119	7	11
120	7	11
121	7	11
122	8	11
123	8	11
124	8	11
125	8	11
126	8	11
127	8	11
128	8	11
129	8	11
130	8	11
131	8	10
132	8	10
133	8	10
134	8	10
135	8	10
136	8	10
137	8	10
138	8	10
139	9	10
140	9	10
141	9	10
142	9	10
143	9	10
144	9	10
145	9	9
146	9	9
147	9	9
148	9	9
149	9	9
150	9	9
151	9	9
152	9	9
153	9	9
154	9	9
155	9	9
156	10	9
157	10	9
158	10	9
159	10	8
160	10	8
161	10	8
162	10	8
163	10	8
164	10	8
165	10	8
166	10	8
167	10	8
168	10	8
169	10	8
170	10	8
171	10	8
172	10	8
173	11	8
174	11	7
175	11	7
176	11	7
177	11	7
178	11	7
179	11	7
180	11	7
181	11	7
182	11	7
183	11	7
184	11	7
185	11	7
186	11	7
187	11	7
188	11	7
189	11	6
190	11	6
191	12	6
192	12	6
193	12	6
194	12	6
195	12	6
196	12	6
197	12	6
198	12	6
199	12	6
200	12	6
201	12	6
202	12	6
203	12	6
204	12	5
205	12	5
206	12	5
207	12	5
208	12	5
209	13	5
210	13	5
211	13	5
212	13	5
213	13	5
214	13	5
215	13	5
216	13	5
217	13	5
218	13	5
219	13	4
220	13	4
221	13	4
222	13	4
223	13	4
224	13	4
225	13	4
226	13	4
227	14	4
228	14	4
229	14	4
230	14	4
231	14	4
232	14	4
233	14	4
234	14	4
235	14	3
236	14	3
237	14	3
238	14	3
239	14	3
240	14	3
241	14	3
242	14	3
243	14	3
244	14	3
245	15	3
246	15	3
247	15	3
248	15	3
249	15	3
250	15	2
251	15	2
252	15	2
253	15	2
254	15	2
255	15	2
256	15	2
257	15	2
258	15	2
259	15	2
260	15	2
261	15	2
262	15	2
263	15	2
264	16	2
265	16	2
266	16	2
267	16	1
268	16	1
269	16	1
270	16	1
271	16	1
272	16	1
273	16	1
274	16	1
275	16	1
276	16	1
277	16	1
278	16	1
279	16	1
280	16	1
281	17	1
282	17	1
283	17	0
284	17	0
285	17	0
286	17	0
287	17	0
288	17	0
289	17	0
290	17	0
291	17	0
292	17	0
293	17	0
294	17	0
295	17	0
296	17	0
297	17	0
298	18	0
299	18	0
